Total Votes,BRANDON JOHNSON,%,PAUL VALLAS,%,
"612,514","319,481",52.16%,"293,033",47.84%,
,,,,,
Ward 1,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,779,533,68.42%,246,31.58%
2,789,547,69.33%,242,30.67%
3,858,538,62.70%,320,37.30%
4,725,565,77.93%,160,22.07%
5,764,552,72.25%,212,27.75%
6,673,448,66.57%,225,33.43%
7,836,622,74.40%,214,25.60%
8,659,434,65.86%,225,34.14%
9,406,241,59.36%,165,40.64%
10,874,520,59.50%,354,40.50%
11,683,468,68.52%,215,31.48%
12,347,220,63.40%,127,36.60%
13,531,348,65.54%,183,34.46%
14,459,257,55.99%,202,44.01%
15,791,443,56.01%,348,43.99%
16,792,468,59.09%,324,40.91%
17,480,287,59.79%,193,40.21%
18,672,408,60.71%,264,39.29%
19,592,339,57.26%,253,42.74%
20,576,334,57.99%,242,42.01%
21,600,391,65.17%,209,34.83%
22,798,481,60.28%,317,39.72%
23,384,222,57.81%,162,42.19%
24,925,492,53.19%,433,46.81%
25,808,415,51.36%,393,48.64%
26,771,379,49.16%,392,50.84%
Total,"17,572","10,952",62.33%,"6,620",37.67%
,,,,,
Ward 2,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,633,163,25.75%,470,74.25%
2,851,217,25.50%,634,74.50%
3,475,163,34.32%,312,65.68%
4,536,153,28.54%,383,71.46%
5,621,137,22.06%,484,77.94%
6,895,196,21.90%,699,78.10%
7,790,159,20.13%,631,79.87%
8,661,110,16.64%,551,83.36%
9,855,172,20.12%,683,79.88%
10,366,105,28.69%,261,71.31%
11,551,162,29.40%,389,70.60%
12,574,219,38.15%,355,61.85%
13,780,196,25.13%,584,74.87%
14,482,144,29.88%,338,70.12%
15,691,142,20.55%,549,79.45%
16,769,156,20.29%,613,79.71%
17,1049,304,28.98%,745,71.02%
18,567,200,35.27%,367,64.73%
19,355,92,25.92%,263,74.08%
20,467,107,22.91%,360,77.09%
21,163,41,25.15%,122,74.85%
22,503,199,39.56%,304,60.44%
23,560,217,38.75%,343,61.25%
24,522,160,30.65%,362,69.35%
25,763,201,26.34%,562,73.66%
Total,"15,479","4,115",26.58%,"11,364",73.42%
,,,,,
Ward 3,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,555,456,82.16%,99,17.84%
2,613,502,81.89%,111,18.11%
3,458,261,56.99%,197,43.01%
4,447,365,81.66%,82,18.34%
5,128,103,80.47%,25,19.53%
6,555,376,67.75%,179,32.25%
7,344,254,73.84%,90,26.16%
8,431,372,86.31%,59,13.69%
9,339,209,61.65%,130,38.35%
10,400,159,39.75%,241,60.25%
11,635,519,81.73%,116,18.27%
12,639,525,82.16%,114,17.84%
13,825,329,39.88%,496,60.12%
14,833,425,51.02%,408,48.98%
15,478,382,79.92%,96,20.08%
16,343,215,62.68%,128,37.32%
17,132,105,79.55%,27,20.45%
18,171,134,78.36%,37,21.64%
19,921,351,38.11%,570,61.89%
20,578,463,80.10%,115,19.90%
21,502,268,53.39%,234,46.61%
22,435,304,69.89%,131,30.11%
23,275,202,73.45%,73,26.55%
24,105,92,87.62%,13,12.38%
25,908,251,27.64%,657,72.36%
26,274,218,79.56%,56,20.44%
27,755,334,44.24%,421,55.76%
Total,"13,079","8,174",62.50%,"4,905",37.50%
,,,,,
Ward 4,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,826,674,81.60%,152,18.40%
2,313,236,75.40%,77,24.60%
3,546,396,72.53%,150,27.47%
4,625,536,85.76%,89,14.24%
5,283,229,80.92%,54,19.08%
6,431,312,72.39%,119,27.61%
7,344,253,73.55%,91,26.45%
8,424,334,78.77%,90,21.23%
9,450,372,82.67%,78,17.33%
10,434,357,82.26%,77,17.74%
11,586,471,80.38%,115,19.62%
12,408,305,74.75%,103,25.25%
13,379,306,80.74%,73,19.26%
14,400,330,82.50%,70,17.50%
15,348,270,77.59%,78,22.41%
16,492,399,81.10%,93,18.90%
17,585,482,82.39%,103,17.61%
18,182,153,84.07%,29,15.93%
19,455,336,73.85%,119,26.15%
20,563,436,77.44%,127,22.56%
21,380,301,79.21%,79,20.79%
22,185,126,68.11%,59,31.89%
23,339,231,68.14%,108,31.86%
24,682,486,71.26%,196,28.74%
25,796,353,44.35%,443,55.65%
26,817,355,43.45%,462,56.55%
27,666,430,64.56%,236,35.44%
28,801,466,58.18%,335,41.82%
Total,"13,740","9,935",72.31%,"3,805",27.69%
,,,,,
Ward 5,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,554,468,84.48%,86,15.52%
2,673,517,76.82%,156,23.18%
3,599,504,84.14%,95,15.86%
4,516,417,80.81%,99,19.19%
5,212,163,76.89%,49,23.11%
6,258,197,76.36%,61,23.64%
7,122,93,76.23%,29,23.77%
8,182,137,75.27%,45,24.73%
9,160,122,76.25%,38,23.75%
10,224,185,82.59%,39,17.41%
11,371,292,78.71%,79,21.29%
12,703,480,68.28%,223,31.72%
13,264,227,85.98%,37,14.02%
14,309,256,82.85%,53,17.15%
15,1006,776,77.14%,230,22.86%
16,602,432,71.76%,170,28.24%
17,428,325,75.93%,103,24.07%
18,889,631,70.98%,258,29.02%
19,409,285,69.68%,124,30.32%
20,653,534,81.78%,119,18.22%
21,607,476,78.42%,131,21.58%
22,689,562,81.57%,127,18.43%
23,351,233,66.38%,118,33.62%
24,454,344,75.77%,110,24.23%
25,1020,677,66.37%,343,33.63%
Total,"12,255","9,333",76.16%,"2,922",23.84%
,,,,,
Ward 6,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,175,144,82.29%,31,17.71%
2,226,187,82.74%,39,17.26%
3,69,56,81.16%,13,18.84%
4,164,133,81.10%,31,18.90%
5,319,237,74.29%,82,25.71%
6,280,224,80.00%,56,20.00%
7,343,277,80.76%,66,19.24%
8,249,195,78.31%,54,21.69%
9,521,411,78.89%,110,21.11%
10,314,258,82.17%,56,17.83%
11,128,103,80.47%,25,19.53%
12,347,283,81.56%,64,18.44%
13,460,373,81.09%,87,18.91%
14,452,379,83.85%,73,16.15%
15,434,346,79.72%,88,20.28%
16,265,203,76.60%,62,23.40%
17,572,458,80.07%,114,19.93%
18,617,494,80.06%,123,19.94%
19,413,339,82.08%,74,17.92%
20,676,553,81.80%,123,18.20%
21,481,400,83.16%,81,16.84%
22,684,565,82.60%,119,17.40%
23,622,508,81.67%,114,18.33%
24,569,446,78.38%,123,21.62%
25,434,338,77.88%,96,22.12%
26,754,591,78.38%,163,21.62%
27,663,553,83.41%,110,16.59%
Total,"11,231","9,054",80.62%,"2,177",19.38%
,,,,,
Ward 7,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
1,456,383,83.99%,73,16.01%
2,619,499,80.61%,120,19.39%
3,330,289,87.58%,41,12.42%
4,418,319,76.32%,99,23.68%
5,548,405,73.91%,143,26.09%
6,128,98,76.56%,30,23.44%
7,329,253,76.90%,76,23.10%
8,196,149,76.02%,47,23.98%
9,331,269,81.27%,62,18.73%
10,464,387,83.41%,77,16.59%
11,414,333,80.43%,81,19.57%
12,514,434,84.44%,80,15.56%
13,325,261,80.31%,64,19.69%
14,297,208,70.03%,89,29.97%
15,444,341,76.80%,103,23.20%
16,166,119,71.69%,47,28.31%
17,134,94,70.15%,40,29.85%
18,98,76,77.55%,22,22.45%
19,666,508,76.28%,158,23.72%
20,325,265,81.54%,60,18.46%
21,248,205,82.66%,43,17.34%
22,289,224,77.51%,65,22.49%
23,193,159,82.38%,34,17.62%
24,66,42,63.64%,24,36.36%
25,321,261,81.31%,60,18.69%
